id,source_language,target_language,source_text,reference_translation,model_translation,adequacy_score,fluency_score,cultural_correctness,reviewer_notes
1,hi,unr,"बच्चों को प्रतिदिन विद्यालय जाना चाहिए।","होनको मुसांग मुसांग इस्कुल सेनांग लगतिङ तना।",,,,,
2,hi,unr,"उबला हुआ पानी पीने से पेट की बीमारियां नहीं होतीं।","हेड़े दः नु लेरे लाजि रोग का होबाओअ।",,,,,
3,hi,unr,"अपनी-अपनी किताबें खोलो और ध्यान से पढ़ो।","आपनाः आपनाः पुथी निड़केते सुकते पढ़ावपे।",,,,,
4,hi,unr,"ग्राम सभा की बैठक कल सुबह दस बजे पंचायत भवन में होगी।","हातु सभा रेयाः दुब गापा सेतुअ गेलाव बाजे पंचायत भवन रे होबाओअ।",,,,,
5,hi,unr,"नमस्ते, आपका नाम क्या है और आप कहाँ रहते हैं?","जोहार, आमाः नुतूम चिकना चि आमे ओकोरे मेनामा?",,,,,
6,hi,unr,"हिमाचल प्रदेश के ऊना की 7 साल की बेटी नलिनी सिंह का कमाल देखिए।","हिमाचल राइज रेया: ऊना रेन तुरुया सिरमा कुड़ि होन नलिनी सिंहअ बुगिन कमि लेल लेपे।",,,,,
7,hi,unr,"कृषि विभाग द्वारा किसानों को उत्तम बीज वितरित किए जा रहे हैं।","चास विभाग हतेते किसानकोके बेस जांग हातिङ तानाको।",,,,,
8,hi,unr,"जंगल और प्राकृतिक संसाधनों का संरक्षण हमारे समाज की जिम्मेदारी है।","बीर आर कुदरती जिनिसको रेयाः बचवाव आबुअः समाज रेयाः जिम्मेवारी ताना।",,,,,
9,hi,unr,"स्वास्थ्य केंद्र में निशुल्क दवाइयां उपलब्ध हैं।","अस्पताल रे बिन पईसाते रान नामोः तना।",,,,,
10,hi,unr,"बारिश के मौसम में संक्रामक बीमारियों से बचाव आवश्यक है।","दाः दिन रे आजारकोएते बचवाव लगतिङ ताना।",,,,,
11,hi,unr,"सड़क सुरक्षा नियमों का पालन सभी नागरिकों को करना चाहिए।","सड़क सुरक्षा नियमको मनातिङ सोबेन नागरिककोए लगतिङ तना।",,,,,
12,hi,unr,"गाँव में बिजली और पक्की सड़क की सुविधा उपलब्ध कराई गई है।","हातु रे बिजली आर पक्का सड़क रेयाः सुविधा नामकाना।",,,,,
13,hi,unr,"कक्षा में शिक्षक की बात ध्यानपूर्वक सुननी चाहिए।","क्लास रे शिक्षकअः कजि सुकते आयुम लगतिङ तना।",,,,,
14,hi,unr,"महिलाओं के स्वयं सहायता समूह आत्मनिर्भरता की दिशा में कार्यरत हैं।","कुड़िकोआः स्वयं सहायता समूह आपन तीते बांचाओअः दिशा रे कमि तानाको।",,,,,
15,hi,unr,"आज धूप बहुत तेज है और गर्म हवा चल रही है।","तिसिंग जेते पुरः तेस तना आर रोलोः होयोः ओयोंग तना।",,,,,
16,unr,hi,"होनको मुसांग मुसांग इस्कुल सेनांग लगतिङ तना।","बच्चों को प्रतिदिन विद्यालय जाना चाहिए।",,,,,
17,unr,hi,"हेड़े दः नु लेरे लाजि रोग का होबाओअ।","उबला हुआ पानी पीने से पेट की बीमारियां नहीं होतीं।",,,,,
18,unr,hi,"आपनाः आपनाः पुथी निड़केते सुकते पढ़ावपे।","अपनी-अपनी किताबें खोलो और ध्यान से पढ़ो।",,,,,
19,unr,hi,"हातु सभा रेयाः दुब गापा सेतुअ गेलाव बाजे पंचायत भवन रे होबाओअ।","ग्राम सभा की बैठक कल सुबह दस बजे पंचायत भवन में होगी।",,,,,
20,unr,hi,"जोहार, आमाः नुतूम चिकना चि आमे ओकोरे मेनामा?","नमस्ते, आपका नाम क्या है और आप कहाँ रहते हैं?",,,,,
21,unr,hi,"हिमाचल राइज रेया: ऊना रेन तुरुया सिरमा कुड़ि होन नलिनी सिंहअ बुगिन कमि लेल लेपे।","हिमाचल प्रदेश के ऊना की 7 साल की बेटी नलिनी सिंह का कमाल देखिए।",,,,,
22,unr,hi,"बीर आर कुदरती जिनिसको रेयाः बचवाव आबुअः समाज रेयाः जिम्मेवारी ताना।","जंगल और प्राकृतिक संसाधनों का संरक्षण हमारे समाज की जिम्मेदारी है।",,,,,
23,unr,hi,"अस्पताल रे बिन पईसाते रान नामोः तना।","स्वास्थ्य केंद्र में निशुल्क दवाइयां उपलब्ध हैं।",,,,,
24,unr,hi,"दाः दिन रे आजारकोएते बचवाव लगतिङ ताना।","बारिश के मौसम में संक्रामक बीमारियों से बचाव आवश्यक है।",,,,,
25,unr,hi,"सोबेन नागरिककोए लगतिङ तना।","सभी नागरिकों को करना चाहिए।",,,,,
