row_id,Hindi,Mundari,Hindi_length,Mundari_length,character_ratio,word_ratio,category,reason
70,"पता नहीं, कितने देर तक में पूरा आदमी बन जाता ?",चिमतङते’ड़ोःए होड़ो चबाओअ?,46,26,0.5652,0.2727,SEVERE_ANOMALY,Severe word count divergence (0.27)
236,"हल्ला हो रहा था, इसी के साथ ही लम्बोड़ा की ओर हिरण रिड़िब रिड़िब करते हुए दौड़ रहा था।",एनलोःदो लमबोड़ा मुलिते सिलिब् निरअउजदा रिड़िब् रिड़िब्तन।,86,57,0.6628,0.3684,REVIEW_REQUIRED,Borderline word ratio (0.37)
276,मेरी इच्छा है कि जैसे भी बन पड़े मेरे साथ उसका विवाह कर दो।,अड़ांदी होबा जन चि चुमन रे मोयोद काऊ आद् मोयोद सुकुरी को ओमाइया एनाते एन होड़ो अया कुड़ि काऊ आद् एन सुकुरी अगुकेद को आते नआः दो अया सिदारेन कुड़ि बगे किया आद् मरङ बिरतेः सेनो जना।,59,179,3.0339,2.6429,SEVERE_ANOMALY,Severe long Mundari character ratio (3.03 > 3.0)
415,"इसके बाद कुतिया को बुलाया जाने लगा, तब वह वहां पर नहीं था।",एनते सेताको रअःबड़ाजअःइ; बगअःइअ।,58,32,0.5517,0.3077,REVIEW_REQUIRED,Borderline word ratio (0.31)
434,"लेकिन शगुन पहचान करने में हम किसी का नुकसान नहीं करते हैं, लेकिन मृत्यु के तरीेकों से आदमियों को बचाया जा रहा है।",मेनदोएरे सालाते जेतएत्र्प्रः काले नोकोसानजदा; मेनदो गोजोः होनाएते होड़ोकोबनचवोःतना।,113,83,0.7345,0.3913,REVIEW_REQUIRED,Borderline word ratio (0.39)
475,कहां से कहां हम बातों को ले जा रहे हैं !,कोते’ते कोतेपे इदिजद्बुअ!,40,25,0.625,0.2727,SEVERE_ANOMALY,Severe word count divergence (0.27)
480,उसके बाद लक्ष्मी बताती गई और भगवान बनाते गये।,हस रकबेः होकए का।,45,17,0.3778,0.4444,REVIEW_REQUIRED,Borderline character ratio (0.38)
483,अमगः बकण दोन मइ-तुम्हारी मीठी बातें तो युवती,अमगः बकण दोन मइ,44,15,0.3409,0.5,REVIEW_REQUIRED,Borderline character ratio (0.34)
520,"दूसरे दिन बच्चियों के जमा होने के बाद उनसे कह रहीं हैं-‘‘ चलिए, दादी, कल  तांती का मूर्खता पूर्ण वाली कहानी की जोड़ी आपने नहीं सुनायीं, आज इसकी जोड़ी वाली कहानी हमलोगों को सुनाईये।’’",एनते सोबेनको दुड़ुमजना।,182,23,0.1264,0.0882,SEVERE_ANOMALY,Severe short Mundari character ratio (0.13 < 0.3)
640,"आत्मा के पुनः शरीर में प्रवेश करने पर ‘‘आदमी जाग गया’’ कहा जाता है,मृत्यु होने लायक अस्वस्थ शरीर से कुछ देर के लिए शरीर से आत्मा के निकले रहने  पर ‘‘आदमी अब तब, अनिश्चि, अवस्था में है ऐसा कहा जाता है’’ आत्मा के पुनः प्रवेश कर जाने पर ‘‘व्यक्ति पलट कर वापस आ गया’’ ऐसा कहा जाता है या कहा जायेगा।",आद् रोअ बोलोरूअड़जनचि ‘‘होड़ो मेनते रोअ उडुङअकन दिपिलि ‘‘होड़ो कलद्-कोलोद्अकना’’ मेनते कजिओःअ।,294,94,0.3197,0.1967,REVIEW_REQUIRED,Borderline character ratio (0.32)
